Mes,Casos
2020-03-01,6.0
2020-03-02,6.0
2020-03-03,11.0
2020-03-04,14.0
2020-03-05,14.0
2020-03-06,14.0
2020-03-07,14.0
2020-03-08,15.0
2020-03-09,15.0
2020-03-10,17.0
2020-03-11,17.0
2020-03-12,17.0
2020-03-13,23.0
2020-03-14,28.0
2020-03-15,37.0
2020-03-16,58.0
2020-03-17,111.0
2020-03-18,155.0
2020-03-19,260.0
2020-03-20,367.0
2020-03-21,532.0
2020-03-22,789.0
2020-03-23,981.0
2020-03-24,1082.0
2020-03-25,1211.0
2020-03-26,1403.0
2020-03-27,1627.0
2020-03-28,1835.0
2020-03-29,1924.0
2020-03-30,1966.0
2020-03-31,2302.0
2020-04-01,2758.0
2020-04-02,3163.0
2020-04-03,3368.0
2020-04-04,3465.0
2020-04-05,3646.0
2020-04-06,3747.0
2020-04-07,3995.0
2020-04-08,4450.0
2020-04-09,4965.0
2020-04-10,7161.0
2020-04-11,7257.0
2020-04-12,7466.0
2020-04-13,7529.0
2020-04-14,7603.0
2020-04-15,7858.0




